model,seed,corruption,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
C,2,speckle_noise,0.57786,2.2292521152400973,0.31969059270650146,0.7149986613082886,0.30126941847993993,0.3068124624777795,0.01512,,0.07253381517005811
C,2,gaussian_blur,0.73618,1.1585726291322709,0.1809814697292447,0.42977774027466775,0.2522888238658832,0.2481700091418647,0.017620000000000014,,0.07479060655475432
C,2,spatter,0.85048,0.6316039788246155,0.09288723493695258,0.24338959815263747,0.1742136437178869,0.17383761909496737,0.011360000000000014,,0.07106430782243102
C,2,saturate,0.92354,0.3028532503604889,0.04426239003419876,0.12336754831671715,0.10168960252899852,0.10184242065765167,0.0065999999999999835,,0.06914293790741682
C,3,gaussian_noise,0.48344000000000004,2.7769499744796753,0.3927385299888253,0.8724914467144012,0.35672105095531326,0.3629269891560549,0.023780000000000003,,0.07463416364788628
C,3,shot_noise,0.61296,1.9365310872268677,0.2791321314677596,0.641278361210823,0.315392635771177,0.3199028973406041,0.018920000000000003,,0.07393323681436444
C,3,impulse_noise,0.57366,1.9614278735733033,0.28387570940196516,0.6782583406877518,0.42233973034117256,0.41328438216758484,0.028260000000000042,,0.07608294854363133
C,3,defocus_blur,0.83244,0.6987604742288589,0.10866382988721132,0.27096112575769427,0.18113622387364506,0.1799254230147449,0.0123,,0.0736560848413752
C,3,glass_blur,0.54344,2.15093819229126,0.3099177794060111,0.7359376924514771,0.4343019001715933,0.428772394991006,0.027719999999999988,,0.07748070195586461
C,3,motion_blur,0.78828,0.8916002824211121,0.13592191545754673,0.34414872825622556,0.2318188125952182,0.23147943608607224,0.015639999999999987,,0.07506488847765012
C,3,zoom_blur,0.7943399999999999,0.8418598307800294,0.12804541513413192,0.3299025019073486,0.23653563593868632,0.2368271022894379,0.01569999999999998,,0.07561065692801626
C,3,snow,0.82364,0.7475649139022827,0.11140783026099206,0.2842434694862366,0.19723609039905132,0.19758023136320058,0.013219999999999987,,0.07294037238051554
C,3,frost,0.79466,0.9017352735328674,0.12863657063692807,0.329390227804184,0.23131762768281622,0.23281837548309764,0.013280000000000004,,0.07313984784810915
C,3,fog,0.88814,0.4658783460712433,0.06902455905884504,0.18167868033409118,0.13179885431107483,0.13265249114332198,0.008119999999999994,,0.07168956687309602
C,3,brightness,0.93698,0.2539999060726166,0.0360609680211544,0.10211337305545806,0.08568281681187975,0.08664049400010554,0.005699999999999994,,0.06998132693106546
C,3,contrast,0.75812,1.0438236509513854,0.15395720917224884,0.3803310458803177,0.26683144630873923,0.26060974781884,0.018699999999999984,,0.07568127519844252
